time,exp1_s1,exp1_s1_Distorted
8.44221105527638,11,11
8.44221105527638,5,5
8.44221105527638,5,5
8.44221105527638,3,3
8.44221105527638,4,4
8.44221105527638,4,4
8.44221105527638,9,7
8.44221105527638,4,4
8.44221105527638,4,4
8.64321608040201,5,5
8.64321608040201,7,7
8.64321608040201,3,3
8.64321608040201,9,9
8.64321608040201,3,3
8.64321608040201,5,5
8.64321608040201,2,2
8.64321608040201,7,7
8.64321608040201,7,6
8.64321608040201,4,4
8.84422110552764,7,7
8.84422110552764,6,5
8.84422110552764,8,8
8.84422110552764,6,6
8.84422110552764,9,8
8.84422110552764,5,5
8.84422110552764,5,5
8.84422110552764,6,6
8.84422110552764,4,3
8.84422110552764,10,10
9.04522613065327,6,6
9.04522613065327,4,4
9.04522613065327,5,5
9.04522613065327,7,7
9.04522613065327,5,5
9.04522613065327,4,4
9.04522613065327,9,9
9.04522613065327,6,5
9.04522613065327,5,5
9.04522613065327,4,4
9.24623115577889,4,4
9.24623115577889,6,6
9.24623115577889,5,4
9.24623115577889,8,8
9.24623115577889,3,3
9.24623115577889,9,9
9.24623115577889,7,6
9.24623115577889,3,3
9.24623115577889,9,8
9.24623115577889,4,3
9.44723618090452,7,7
9.44723618090452,6,6
9.44723618090452,4,4
9.44723618090452,1,1
9.44723618090452,8,8
9.44723618090452,8,8
9.44723618090452,5,3
9.44723618090452,2,2
9.44723618090452,6,6
9.44723618090452,4,4
9.64824120603015,8,8
9.64824120603015,6,6
9.64824120603015,4,4
9.64824120603015,10,10
9.64824120603015,8,7
9.64824120603015,9,9
9.64824120603015,3,3
9.64824120603015,4,3
9.64824120603015,8,7
9.64824120603015,7,7
9.84924623115578,8,7
9.84924623115578,6,5
9.84924623115578,6,6
9.84924623115578,7,7
9.84924623115578,9,9
9.84924623115578,7,6
9.84924623115578,6,6
9.84924623115578,5,5
9.84924623115578,7,7
9.84924623115578,5,5
10.0502512562814,7,6
10.0502512562814,9,8
10.0502512562814,9,9
10.0502512562814,10,10
10.0502512562814,10,10
10.0502512562814,9,7
10.0502512562814,0,0
10.0502512562814,1,1
10.0502512562814,3,3
10.0502512562814,5,5
